{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf200
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0         YR/MO/DY        HR:MN:SC        IRR     STD\
        ========        ========        ======  ===\
        84/10/25        15:24:45        1364.8  0.1\
        84/10/26        10:44:49        1365.4  0.2\
        84/10/29        11:21:05        1365.2  0\
        84/11/01        08:44:16        1366    0\
        84/11/05        06:21:26        1365.4  0.1\
        84/11/12        19:06:09        1365.3  0.5\
        84/11/20        11:00:49        1365.3  0.2\
        84/11/26        08:15:29        1364.8  0.4\
        84/12/03        09:37:37        1365.3  0.4\
        84/12/10        19:27:13        1365.4  0.4\
        84/12/17        11:21:05        1365.5  0.2\
        84/12/28        08:34:41        1364.9  0\
        85/01/09        10:00:33        1365.1  0.1\
        85/01/23        16:06:25        1365.1  0\
        85/02/06        13:20:33        1365.5  0.2\
        85/02/20        13:05:37        1364.8  0.3\
        85/03/06        11:09:53        1364.9  0.3\
        85/03/20        12:56:01        1364.9  0.3\
        85/04/03        17:30:13        1364.5  0.2\
        85/04/17        13:56:33        1364.9  0.1\
        85/05/01        12:48:33        1364.1  0.2\
        85/05/08        12:39:45        1364.2  0.5\
        85/05/29        12:38:25        1364.2  0.5\
        85/06/18        12:11:44        1364.8  0.1\
        85/06/26        12:11:13        1364.7  0.2\
        85/07/10        12:36:16        1363.7  0.2\
        85/07/24        12:15:12        1364.3  0.2\
        85/08/07        14:05:52        1365.1  0.1\
        85/08/21        12:01:36        1364.5  0.3\
        85/09/04        13:30:40        1364.5  0\
        85/09/18        12:18:40        1364.7  0.2\
        85/10/02        13:41:20        1364.6  0.1\
        85/10/16        13:16:16        1364.9  0.3\
        85/10/21        12:35:54        1365.3  0.2\
        85/10/31        12:05:20        1365.7  0.2\
        85/11/13        13:10:56        1365.1  0.1\
        85/11/27        13:36:00        1364.7  0.4\
        85/12/18        11:49:20        1364.6  0.2\
        85/12/25        14:44:48        1364.8  0.2\
        86/01/08        11:41:52        1365.1  0.3\
        86/01/22        12:57:36        1365.1  0.1\
        86/02/05        13:24:48        1364.2  0.2\
        86/02/15        12:12:47        1364.5  0.1\
        86/02/26        03:04:15        1364.8  0.2\
        86/03/05        12:49:35        1364.7  0.1\
        86/03/19        12:58:40        1364.4  0.3\
        86/04/02        12:41:36        1364.8  0.2\
        86/04/16        12:20:16        1364.2  0.1\
        86/04/30        12:48:32        1364.6  0.1\
        86/05/14        12:27:44        1364.7  0.2\
        86/05/28        12:37:52        1364.4  0.3\
        86/06/04        12:19:44        1364.4  0.3\
        86/06/19        12:34:08        1364.7  0.1\
        86/06/25        12:08:32        1364.3  0.2\
        86/07/09        12:33:04        1364.3  0\
        86/07/23        13:48:16        1365.3  0.1\
        86/08/17        12:56:32        1364.6  0.3\
        86/08/28        13:48:15        1364.4  0.4\
        86/09/03        13:26:24        1364.9  0.3\
        86/09/17        12:12:48        1364.7  0\
        86/10/01        11:57:52        1364.6  0.3\
        86/10/15        13:10:24        1364.6  0.1\
        86/10/29        11:46:40        1364.8  0.3\
        86/11/12        13:03:28        1364.7  0.4\
        86/11/26        13:28:32        1364.5  0.3\
        86/12/04        06:58:39        1364.8  0.2\
        86/12/18        11:50:55        1364.5  0.9\
        86/12/24        12:58:08        1364.5  0.3\
        87/01/07        13:19:20        1365    0.4\
        87/01/21        12:46:56        1365.9  0.2\
        87/02/15        12:13:20        1364.7  0.3\
        87/02/26        13:05:04        1364.7  0.4\
        87/03/04        12:37:52        1364.7  0.4\
        87/03/18        12:47:28        1365    0.2\
        87/04/01        14:05:20        1364.6  0.2\
        87/04/29        12:34:40        1364.6  0.2\
        87/05/13        12:13:52        1365.4  0.1\
        87/05/27        12:24:32        1364.9  0.2\
        87/06/03        12:06:07        1364.9  0.1\
        87/06/18        12:18:39        1364.9  0.4\
        87/06/24        13:31:12        1364.4  0.3\
        87/07/08        12:18:40        1365.3  0.5\
        87/07/22        13:36:00        1365    0.1\
        87/08/05        12:13:20        1364.9  0.1\
        87/08/12        08:44:00        1364.8  0\
        87/08/28        13:52:00        1365.1  0.1\
        87/09/02        13:17:20        1364.9  0\
        87/09/09        13:02:56        1364.9  0\
        87/09/16        13:42:56        1365.4  0.1\
        87/09/30        11:52:00        1364.6  0.2\
        87/10/14        13:06:40        1364.4  0.3\
        87/10/28        11:44:00        1364.9  0.2\
        87/11/11        13:01:20        1365.4  1.1\
        87/11/25        11:50:51        1365.3  1.3\
        87/12/18        12:04:48        1365.4  1.1\
        87/12/23        13:01:20        1365.8  1\
        88/01/06        13:13:34        1365.7  0.1\
        88/01/20        12:52:14        1364.6  0.6\
        88/02/03        16:34:06        1365.2  0\
        88/02/14        02:38:54        1364.9  0.1\
        88/02/25        11:35:58        1365.4  0.3\
        88/03/02        12:46:22        1365    0.1\
        88/03/16        11:19:26        1365.2  0.3\
        88/03/29        14:13:50        1365    0.3\
        88/04/13        12:18:38        1365.2  0.1\
        88/04/27        12:45:50        1365.1  0.1\
        88/05/11        12:25:02        1365.8  0\
        88/05/25        14:13:18        1364.8  0.1\
        88/06/02        06:01:34        1365.4  0.4\
        88/06/17        12:43:10        1365.8  0.2\
        88/06/22        13:42:22        1365.2  0.2\
        88/07/06        12:29:34        1365.7  0.1\
        88/07/20        13:43:58        1365.3  0.1\
        88/08/03        13:56:46        1365.4  0.2\
        88/08/15        06:34:06        1365    0\
        88/08/26        09:02:54        1365.7  0.2\
        88/08/31        13:17:50        1364.8  0.1\
        88/09/14        13:40:14        1365.9  0.2\
        88/09/28        13:23:10        1365.5  0.1\
        88/10/12        12:57:02        1365.5  0.1\
        88/10/26        13:07:10        1365.2  0.3\
        88/11/09        13:44:14        1365.2  0.4\
        88/11/23        13:05:34        1365.7  0.3\
        88/12/02        06:45:50        1365.4  0.5\
        88/12/16        08:20:14        1365.1  0.1\
        88/12/21        12:28:14        1364.5  0.1\
        89/01/05        12:43:42        1366.4  0.3\
        89/01/18        12:03:42        1366    0.4\
        89/02/01        12:23:58        1366.1  0.3\
        89/02/12        06:26:38        1365.6  0.2\
        89/02/24        05:47:42        1365.5  0.2\
        89/03/01        13:09:18        1365.8  0.2\
        89/03/22        12:48:30        1365.3  0.2\
        89/03/29        12:36:46        1365.9  0.1\
        89/04/12        12:05:18        1366.8  0.1\
        89/04/26        12:19:42        1365.9  0\
        89/05/10        11:45:34        1366.7  0\
        89/05/24        11:41:50        1365.9  0.2\
        89/06/02        06:36:14        1365.6  0.1\
        89/06/15        08:10:06        1363.3  0.4\
        89/06/22        13:54:38        1366.1  0.1\
        89/07/06        12:24:30        1365.9  0.2\
        89/07/20        13:21:02        1366.1  0.1\
        89/08/03        13:17:18        1365.5  0.2\
        89/08/15        05:40:14        1365.7  0.1\
        89/08/25        07:55:10        1366.6  0.3\
        89/08/30        12:02:38        1366.2  0.2\
        89/09/13        12:07:58        1365.9  0.1\
        89/09/27        11:30:38        1366.3  0.3\
        89/10/11        12:21:50        1367    0.5\
        89/10/25        13:48:46        1366.6  0.1\
        89/11/08        13:05:34        1366.5  0\
        89/11/23        13:05:34        1365.7  0.4\
        89/11/30        07:58:22        1365.5  0.2\
        89/12/15        07:43:26        1366.4  0.1\
        89/12/20        13:19:58        1365.9  1\
        90/01/03        13:02:21        1366.1  0.4\
        90/01/17        12:10:05        1366    0.4\
        90/01/31        13:44:29        1366.3  0.3\
        90/02/11        07:30:05        1365.6  0.2\
        90/02/22        08:08:29        1365.5  0.2\
        90/02/28        13:45:01        1365.7  0.2\
        90/03/14        11:45:01        1366.2  0.2\
        90/03/28        12:29:17        1366.4  0.3\
        90/04/11        13:12:29        1365.9  0\
        90/04/25        13:04:29        1366.3  0.2\
        90/05/09        12:08:29        1365.9  0.2\
        90/05/24        11:51:25        1366.4  0.3\
        90/05/30        07:53:01        1365.6  0.4\
        90/06/14        09:03:25        1366.6  0.3\
        90/06/20        13:11:57        1366.3  0.6\
        90/07/04        12:58:37        1364.5  0.2\
        90/07/18        13:35:25        1366.6  0.1\
        90/08/01        13:09:17        1366    0\
        90/08/11        06:42:37        1366.7  0.3\
        90/08/23        07:15:41        1364.4  0.3\
        90/08/29        12:52:45        1366.5  0.2\
        90/09/12        12:36:13        1366    0.5\
        90/09/26        13:16:13        1365.8  0.1\
