;The following data are for ACRIM2_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  2965  1363.764
 2448826.052  1364.724    0.2339
 2448827.017  1364.565    0.2337
 2448828.016  1364.435    0.2335
 2448829.021  1364.383    0.2332
 2448830.005  1364.420    0.2330
 2448831.001  1364.395    0.2328
 2448831.992  1364.246    0.2325
 2448832.990  1364.257    0.2323
 2448833.988  1364.233    0.2320
 2448834.984  1364.242    0.2318
 2448836.000  1364.378    0.2316
 2448836.987  1364.416    0.2313
 2448837.992  1364.493    0.2311
 2448838.992  1364.620    0.2308
 2448839.994  1364.784    0.2306
 2448840.998  1364.698    0.2304
 2448841.997  1364.530    0.2301
 2448843.003  1364.655    0.2299
 2448844.001  1364.844    0.2296
 2448845.006  1365.030    0.2294
 2448846.011  1365.042    0.2291
 2448847.016  1364.978    0.2289
 2448847.953  1364.844    0.2287
 2448849.013  1364.472    0.2284
 2448850.038  1364.264    0.2282
 2448851.006  1363.997    0.2279
 2448852.005  1363.753    0.2277
 2448853.011  1363.578    0.2274
 2448854.012  1363.359    0.2272
 2448855.018  1363.379    0.2269
 2448856.024  1363.844    0.2267
 2448857.027  1364.283    0.2264
 2448858.014  1364.571    0.2262
 2448859.009  1364.678    0.2260
 2448860.000  1364.655    0.2257
 2448861.001  1364.591    0.2255
 2448861.996  1364.549    0.2252
 2448862.993  1364.532    0.2250
 2448863.999  1364.686    0.2247
 2448864.987  1364.704    0.2245
 2448865.988  1364.725    0.2242
 2448866.986  1364.699    0.2240
 2448867.993  1364.588    0.2237
 2448868.997  1364.603    0.2235
 2448869.998  1364.581    0.2232
 2448870.990  1364.436    0.2230
 2448872.007  1364.268    0.2227
 2448873.011  1364.469    0.2225
 2448874.015  1364.826    0.2222
 2448875.017  1364.869    0.2220
 2448876.016  1364.776    0.2217
 2448877.015  1364.728    0.2215
 2448877.891  1364.673    0.2212
 2448879.000    -9.000   -9.0000
 2448880.002  1364.655    0.2207
 2448880.995  1364.664    0.2205
