;The following data are for ERBS_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  6860  1364.483
 2445998.112  1364.800    0.1146
 2445999.112  1365.399    0.1146
 2446000.112    -9.000   -9.0000
 2446001.112    -9.000   -9.0000
 2446002.112  1365.198    0.1146
 2446003.112    -9.000   -9.0000
 2446004.112    -9.000   -9.0000
 2446005.112  1365.997    0.1146
 2446006.112    -9.000   -9.0000
 2446007.112    -9.000   -9.0000
 2446008.112    -9.000   -9.0000
 2446009.112  1365.496    0.1145
 2446010.112    -9.000   -9.0000
 2446011.112    -9.000   -9.0000
 2446012.112    -9.000   -9.0000
 2446013.112    -9.000   -9.0000
 2446014.112    -9.000   -9.0000
 2446015.112    -9.000   -9.0000
 2446016.112  1365.395    0.1145
 2446017.112    -9.000   -9.0000
 2446018.112    -9.000   -9.0000
 2446019.112    -9.000   -9.0000
 2446020.112    -9.000   -9.0000
 2446021.112    -9.000   -9.0000
 2446022.112    -9.000   -9.0000
 2446023.112    -9.000   -9.0000
 2446024.112  1365.294    0.1145
 2446025.112    -9.000   -9.0000
 2446026.112    -9.000   -9.0000
 2446027.112    -9.000   -9.0000
 2446028.112    -9.000   -9.0000
 2446029.112    -9.000   -9.0000
 2446030.112  1364.993    0.1145
 2446031.112    -9.000   -9.0000
 2446032.112    -9.000   -9.0000
 2446033.112    -9.000   -9.0000
 2446034.112    -9.000   -9.0000
 2446035.112    -9.000   -9.0000
 2446036.112    -9.000   -9.0000
 2446037.112  1365.292    0.1145
 2446038.112    -9.000   -9.0000
 2446039.112    -9.000   -9.0000
 2446040.112    -9.000   -9.0000
 2446041.112    -9.000   -9.0000
 2446042.112    -9.000   -9.0000
 2446043.112    -9.000   -9.0000
 2446044.112  1365.391    0.1144
 2446045.112    -9.000   -9.0000
 2446046.112    -9.000   -9.0000
 2446047.112    -9.000   -9.0000
 2446048.112    -9.000   -9.0000
 2446049.112    -9.000   -9.0000
 2446050.112    -9.000   -9.0000
 2446051.112  1365.490    0.1144
 2446052.112    -9.000   -9.0000
 2446053.112    -9.000   -9.0000
 2446054.112    -9.000   -9.0000
 2446055.112    -9.000   -9.0000
 2446056.112    -9.000   -9.0000
 2446057.112    -9.000   -9.0000
 2446058.112    -9.000   -9.0000
 2446059.112    -9.000   -9.0000
 2446060.112    -9.000   -9.0000
 2446061.112    -9.000   -9.0000
 2446062.112  1364.889    0.1144
 2446063.112    -9.000   -9.0000
 2446064.112    -9.000   -9.0000
 2446065.112    -9.000   -9.0000
 2446066.112    -9.000   -9.0000
 2446067.112    -9.000   -9.0000
 2446068.112    -9.000   -9.0000
 2446069.112    -9.000   -9.0000
 2446070.112    -9.000   -9.0000
 2446071.112    -9.000   -9.0000
 2446072.112    -9.000   -9.0000
 2446073.112    -9.000   -9.0000
 2446074.112  1365.088    0.1143
 2446075.112    -9.000   -9.0000
 2446076.112    -9.000   -9.0000
 2446077.112    -9.000   -9.0000
 2446078.112    -9.000   -9.0000
 2446079.112    -9.000   -9.0000
 2446080.112    -9.000   -9.0000
 2446081.112    -9.000   -9.0000
 2446082.112    -9.000   -9.0000
 2446083.112    -9.000   -9.0000
 2446084.112    -9.000   -9.0000
 2446085.112    -9.000   -9.0000
 2446086.112    -9.000   -9.0000
 2446087.112    -9.000   -9.0000
 2446088.112  1365.087    0.1143
 2446089.112    -9.000   -9.0000
 2446090.112    -9.000   -9.0000
 2446091.112    -9.000   -9.0000
 2446092.112    -9.000   -9.0000
 2446093.112    -9.000   -9.0000
 2446094.112    -9.000   -9.0000
 2446095.112    -9.000   -9.0000
 2446096.112    -9.000   -9.0000
 2446097.112    -9.000   -9.0000
 2446098.112    -9.000   -9.0000
 2446099.112    -9.000   -9.0000
 2446100.112    -9.000   -9.0000
 2446101.112    -9.000   -9.0000
 2446102.112  1365.487    0.1142
 2446103.112    -9.000   -9.0000
 2446104.112    -9.000   -9.0000
 2446105.112    -9.000   -9.0000
 2446106.112    -9.000   -9.0000
 2446107.112    -9.000   -9.0000
 2446108.112    -9.000   -9.0000
 2446109.112    -9.000   -9.0000
 2446110.112    -9.000   -9.0000
 2446111.112    -9.000   -9.0000
 2446112.112    -9.000   -9.0000
 2446113.112    -9.000   -9.0000
 2446114.112    -9.000   -9.0000
 2446115.112    -9.000   -9.0000
 2446116.112  1364.786    0.1142
 2446117.112    -9.000   -9.0000
 2446118.112    -9.000   -9.0000
 2446119.112    -9.000   -9.0000
 2446120.112    -9.000   -9.0000
 2446121.112    -9.000   -9.0000
 2446122.112    -9.000   -9.0000
 2446123.112    -9.000   -9.0000
 2446124.112    -9.000   -9.0000
 2446125.112    -9.000   -9.0000
 2446126.112    -9.000   -9.0000
 2446127.112    -9.000   -9.0000
 2446128.112    -9.000   -9.0000
 2446129.112    -9.000   -9.0000
 2446130.112  1364.885    0.1141
 2446131.112    -9.000   -9.0000
 2446132.112    -9.000   -9.0000
 2446133.112    -9.000   -9.0000
 2446134.112    -9.000   -9.0000
 2446135.112    -9.000   -9.0000
 2446136.112    -9.000   -9.0000
 2446137.112    -9.000   -9.0000
 2446138.112    -9.000   -9.0000
 2446139.112    -9.000   -9.0000
 2446140.112    -9.000   -9.0000
 2446141.112    -9.000   -9.0000
 2446142.112    -9.000   -9.0000
 2446143.112    -9.000   -9.0000
 2446144.112  1364.884    0.1141
 2446145.112    -9.000   -9.0000
 2446146.112    -9.000   -9.0000
 2446147.112    -9.000   -9.0000
 2446148.112    -9.000   -9.0000
 2446149.112    -9.000   -9.0000
 2446150.112    -9.000   -9.0000
 2446151.112    -9.000   -9.0000
 2446152.112    -9.000   -9.0000
 2446153.112    -9.000   -9.0000
 2446154.112    -9.000   -9.0000
 2446155.112    -9.000   -9.0000
 2446156.112    -9.000   -9.0000
 2446157.112    -9.000   -9.0000
 2446158.112  1364.483    0.1140
 2446159.112    -9.000   -9.0000
 2446160.112    -9.000   -9.0000
 2446161.112    -9.000   -9.0000
 2446162.112    -9.000   -9.0000
 2446163.112    -9.000   -9.0000
 2446164.112    -9.000   -9.0000
 2446165.112    -9.000   -9.0000
 2446166.112    -9.000   -9.0000
 2446167.112    -9.000   -9.0000
 2446168.112    -9.000   -9.0000
 2446169.112    -9.000   -9.0000
 2446170.112    -9.000   -9.0000
 2446171.112    -9.000   -9.0000
 2446172.112  1364.882    0.1140
 2446173.112    -9.000   -9.0000
 2446174.112    -9.000   -9.0000
 2446175.112    -9.000   -9.0000
 2446176.112    -9.000   -9.0000
 2446177.112    -9.000   -9.0000
 2446178.112    -9.000   -9.0000
 2446179.112    -9.000   -9.0000
 2446180.112    -9.000   -9.0000
 2446181.112    -9.000   -9.0000
 2446182.112    -9.000   -9.0000
 2446183.112    -9.000   -9.0000
 2446184.112    -9.000   -9.0000
 2446185.112    -9.000   -9.0000
 2446186.112  1364.081    0.1139
 2446187.112    -9.000   -9.0000
 2446188.112    -9.000   -9.0000
 2446189.112    -9.000   -9.0000
 2446190.112    -9.000   -9.0000
 2446191.112    -9.000   -9.0000
 2446192.112    -9.000   -9.0000
 2446193.112  1364.180    0.1139
 2446194.112    -9.000   -9.0000
 2446195.112    -9.000   -9.0000
 2446196.112    -9.000   -9.0000
 2446197.112    -9.000   -9.0000
 2446198.112    -9.000   -9.0000
 2446199.112    -9.000   -9.0000
 2446200.112    -9.000   -9.0000
 2446201.112    -9.000   -9.0000
 2446202.112    -9.000   -9.0000
 2446203.112    -9.000   -9.0000
 2446204.112    -9.000   -9.0000
 2446205.112    -9.000   -9.0000
 2446206.112    -9.000   -9.0000
 2446207.112    -9.000   -9.0000
 2446208.112    -9.000   -9.0000
 2446209.112    -9.000   -9.0000
 2446210.112    -9.000   -9.0000
 2446211.112    -9.000   -9.0000
 2446212.112    -9.000   -9.0000
 2446213.112    -9.000   -9.0000
 2446214.112  1364.179    0.1138
 2446215.112    -9.000   -9.0000
 2446216.112    -9.000   -9.0000
 2446217.112    -9.000   -9.0000
 2446218.112    -9.000   -9.0000
 2446219.112    -9.000   -9.0000
 2446220.112    -9.000   -9.0000
 2446221.112    -9.000   -9.0000
 2446222.112    -9.000   -9.0000
 2446223.112    -9.000   -9.0000
 2446224.112    -9.000   -9.0000
 2446225.112    -9.000   -9.0000
 2446226.112    -9.000   -9.0000
 2446227.112    -9.000   -9.0000
 2446228.112    -9.000   -9.0000
 2446229.112    -9.000   -9.0000
 2446230.112    -9.000   -9.0000
 2446231.112    -9.000   -9.0000
 2446232.112    -9.000   -9.0000
 2446233.112    -9.000   -9.0000
 2446234.112  1364.778    0.1137
 2446235.112    -9.000   -9.0000
 2446236.112    -9.000   -9.0000
 2446237.112    -9.000   -9.0000
 2446238.112    -9.000   -9.0000
 2446239.112    -9.000   -9.0000
