;The following data are for HF_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  5184  1371.020
 2443829.000    -9.000   -9.0000
 2443830.000  1371.562    0.0290
 2443831.000  1371.440    0.0290
 2443832.000    -9.000   -9.0000
 2443833.000  1372.127    0.0292
 2443834.000  1372.228    0.0292
 2443835.000  1372.210    0.0293
 2443836.000    -9.000   -9.0000
 2443837.000  1372.015    0.0294
 2443838.000  1372.387    0.0294
 2443839.000  1372.558    0.0295
 2443840.000    -9.000   -9.0000
 2443841.000  1371.949    0.0296
 2443842.000  1372.188    0.0297
 2443843.000  1372.306    0.0297
 2443844.000    -9.000   -9.0000
 2443845.000  1371.826    0.0298
 2443846.000  1371.867    0.0299
 2443847.000  1371.820    0.0299
 2443848.000    -9.000   -9.0000
 2443849.000  1371.957    0.0300
 2443850.000  1372.432    0.0301
 2443851.000  1372.408    0.0301
 2443852.000    -9.000   -9.0000
 2443853.000  1370.425    0.0303
 2443854.000  1370.373    0.0303
 2443855.000  1370.322    0.0304
 2443856.000    -9.000   -9.0000
 2443857.000  1370.233    0.0305
 2443858.000  1371.195    0.0305
 2443859.000  1371.747    0.0306
 2443860.000    -9.000   -9.0000
 2443861.000  1371.271    0.0307
 2443862.000  1371.677    0.0307
 2443863.000  1371.824    0.0308
 2443864.000    -9.000   -9.0000
 2443865.000  1371.255    0.0309
 2443866.000  1371.905    0.0310
 2443867.000  1372.124    0.0310
 2443868.000    -9.000   -9.0000
 2443869.000  1371.990    0.0311
 2443870.000  1372.357    0.0312
 2443871.000  1372.394    0.0312
 2443872.000    -9.000   -9.0000
 2443873.000  1371.388    0.0313
 2443874.000  1371.564    0.0314
 2443875.000  1371.720    0.0315
 2443876.000    -9.000   -9.0000
 2443877.000  1371.443    0.0316
 2443878.000  1372.319    0.0316
 2443879.000  1372.397    0.0317
 2443880.000    -9.000   -9.0000
 2443881.000  1372.125    0.0318
 2443882.000  1372.424    0.0318
 2443883.000  1372.144    0.0319
 2443884.000    -9.000   -9.0000
 2443885.000  1371.646    0.0320
 2443886.000  1372.497    0.0320
 2443887.000  1372.479    0.0321
 2443888.000    -9.000   -9.0000
 2443889.000  1371.875    0.0322
 2443890.000  1372.258    0.0323
 2443891.000  1372.473    0.0323
 2443892.000    -9.000   -9.0000
 2443893.000  1371.564    0.0324
 2443894.000  1372.078    0.0325
 2443895.000  1371.763    0.0325
 2443896.000    -9.000   -9.0000
 2443897.000  1371.192    0.0326
 2443898.000    -9.000   -9.0000
 2443899.000  1371.619    0.0327
 2443900.000    -9.000   -9.0000
