TCTE
Version: v3L3
Created: 08-Jun-2022
JD        Value 
2456640.5 NaN
2456641.5 NaN
2456642.5 NaN
2456643.5 1362.001700
2456644.5 1361.877300
2456645.5 1361.914700
2456646.5 1361.785100
2456647.5 1361.784200
2456648.5 1361.813700
2456649.5 1361.728100
2456650.5 1361.599300
2456651.5 1361.632400
2456652.5 1361.448800
2456653.5 1361.748100
2456654.5 1361.782100
2456655.5 1361.851400
2456656.5 1361.819700
2456657.5 1361.845700
2456658.5 1361.853600
2456659.5 1361.931500
2456660.5 1362.055300
2456661.5 1361.853300
2456662.5 1361.508300
2456663.5 1360.845000
2456664.5 1360.395200
2456665.5 1360.187800
2456666.5 1360.225000
2456667.5 NaN
2456668.5 1361.205000
2456669.5 1361.586500
2456670.5 1361.832400
2456671.5 1361.982000
2456672.5 1361.908800
2456673.5 1361.919300
2456674.5 1362.064900
2456675.5 1362.089700
2456676.5 1362.043700
2456677.5 1362.029700
2456678.5 1361.794000
2456679.5 1361.812700
2456680.5 1361.759800
2456681.5 1361.541800
2456682.5 1361.834900
2456683.5 1361.811100
2456684.5 1361.875700
2456685.5 1362.032100
2456686.5 1362.162400
2456687.5 1361.888800
2456688.5 1361.913400
2456689.5 1361.591000
2456690.5 1360.866800
2456691.5 1360.094400
2456692.5 1359.820700
2456693.5 1360.190800
2456694.5 1360.341900
2456695.5 1361.124400
2456696.5 1361.719500
2456697.5 1362.108600
2456698.5 1362.001200
2456699.5 1361.694900
2456700.5 1361.458200
2456701.5 1361.076800
2456702.5 1361.035500
2456703.5 1360.859100
2456704.5 1360.933100
2456705.5 1361.338300
2456706.5 1361.709800
2456707.5 1361.871300
2456708.5 1361.862700
2456709.5 1361.837000
2456710.5 1361.720500
2456711.5 1361.493600
2456712.5 1361.343300
2456713.5 1361.616400
2456714.5 1361.883900
2456715.5 1362.267900
2456716.5 1362.277400
2456717.5 1362.060800
2456718.5 1361.938600
2456719.5 1361.777000
2456720.5 1361.795300
2456721.5 1362.068200
2456722.5 1362.328800
2456723.5 1362.635000
2456724.5 1362.530100
2456725.5 1362.451400
2456726.5 1362.304300
2456727.5 1362.099400
2456728.5 1361.716200
2456729.5 NaN
2456730.5 1361.696100
2456731.5 1361.870800
2456732.5 1361.984100
2456733.5 1362.073800
2456734.5 1362.103600
2456735.5 1362.113800
2456736.5 1362.219900
2456737.5 1362.127200
2456738.5 1362.138200
2456739.5 1362.099800
2456740.5 1362.114900
2456741.5 1362.048400
2456742.5 1362.005900
2456743.5 1362.321600
2456744.5 1362.411100
2456745.5 1362.485400
2456746.5 1362.489500
2456747.5 1362.519100
2456748.5 1362.457700
