NIMBUS-7/HF PMOD CORRECTED
Version: ftp.pmodwrc.ch/pub/data/irradiance/acrim/AdditionalFiles accessed 22/07/07
Created: 04-Nov-2022
JD        Value 
2443829.0 NaN
2443830.0 1371.562000
2443831.0 1371.440000
2443832.0 NaN
2443833.0 1372.127000
2443834.0 1372.228000
2443835.0 1372.210000
2443836.0 NaN
2443837.0 1372.015000
2443838.0 1372.387000
2443839.0 1372.558000
2443840.0 NaN
2443841.0 1371.949000
2443842.0 1372.188000
2443843.0 1372.306000
2443844.0 NaN
2443845.0 1371.826000
2443846.0 1371.867000
2443847.0 1371.820000
2443848.0 NaN
2443849.0 1371.957000
2443850.0 1372.432000
2443851.0 1372.408000
2443852.0 NaN
2443853.0 1370.425000
2443854.0 1370.373000
2443855.0 1370.322000
2443856.0 NaN
2443857.0 1370.233000
2443858.0 1371.195000
2443859.0 1371.747000
2443860.0 NaN
2443861.0 1371.271000
2443862.0 1371.677000
2443863.0 1371.824000
2443864.0 NaN
2443865.0 1371.255000
2443866.0 1371.905000
2443867.0 1372.124000
2443868.0 NaN
2443869.0 1371.990000
2443870.0 1372.357000
2443871.0 1372.394000
2443872.0 NaN
2443873.0 1371.388000
2443874.0 1371.564000
2443875.0 1371.720000
2443876.0 NaN
2443877.0 1371.443000
2443878.0 1372.319000
2443879.0 1372.397000
2443880.0 NaN
2443881.0 1372.125000
2443882.0 1372.424000
2443883.0 1372.144000
2443884.0 NaN
2443885.0 1371.646000
2443886.0 1372.497000
2443887.0 1372.479000
2443888.0 NaN
2443889.0 1371.875000
2443890.0 1372.258000
2443891.0 1372.473000
2443892.0 NaN
2443893.0 1371.564000
2443894.0 1372.078000
2443895.0 1371.763000
2443896.0 NaN
2443897.0 1371.192000
2443898.0 NaN
2443899.0 1371.619000
2443900.0 NaN
2443901.0 1371.729000
2443902.0 NaN
2443903.0 1372.361000
2443904.0 NaN
2443905.0 1372.813000
2443906.0 NaN
2443907.0 1372.296000
2443908.0 NaN
2443909.0 1372.000000
2443910.0 NaN
2443911.0 1372.133000
2443912.0 NaN
2443913.0 1372.346000
2443914.0 1372.623000
2443915.0 1372.292000
2443916.0 NaN
2443917.0 1371.869000
2443918.0 1372.687000
2443919.0 1372.606000
2443920.0 NaN
2443921.0 1371.586000
2443922.0 1371.825000
2443923.0 1371.275000
2443924.0 NaN
2443925.0 1370.873000
2443926.0 1371.822000
2443927.0 1372.341000
2443928.0 NaN
2443929.0 1372.182000
2443930.0 NaN
2443931.0 1372.434000
2443932.0 NaN
2443933.0 1372.285000
2443934.0 1372.746000
2443935.0 1372.846000
2443936.0 NaN
2443937.0 1372.458000
2443938.0 1373.098000
2443939.0 1373.029000
2443940.0 NaN
2443941.0 1372.212000
2443942.0 1372.623000
2443943.0 1372.795000
2443944.0 NaN
2443945.0 1372.728000
2443946.0 1373.309000
2443947.0 1373.221000
2443948.0 NaN
2443949.0 1372.615000
2443950.0 1372.836000
2443951.0 1372.778000
2443952.0 NaN
2443953.0 1372.343000
2443954.0 1372.555000
2443955.0 1372.617000
2443956.0 NaN
2443957.0 1372.373000
2443958.0 1372.725000
2443959.0 1372.657000
2443960.0 NaN
2443961.0 1372.603000
2443962.0 1373.055000
2443963.0 1372.957000
2443964.0 NaN
2443965.0 1372.143000
2443966.0 NaN
2443967.0 1371.999000
2443968.0 NaN
2443969.0 1372.165000
2443970.0 NaN
2443971.0 1372.821000
2443972.0 NaN
2443973.0 1372.678000
2443974.0 NaN
2443975.0 1372.265000
2443976.0 NaN
2443977.0 NaN
2443978.0 1372.185000
2443979.0 1372.208000
2443980.0 1372.202000
2443981.0 1372.275000
2443982.0 1372.468000
2443983.0 1372.742000
2443984.0 NaN
2443985.0 NaN
2443986.0 1372.793000
2443987.0 1372.527000
2443988.0 NaN
2443989.0 1372.454000
2443990.0 1372.388000
2443991.0 1372.252000
2443992.0 1372.315000
2443993.0 1372.259000
2443994.0 NaN
2443995.0 1371.617000
2443996.0 NaN
2443997.0 1372.283000
2443998.0 1372.587000
2443999.0 1372.860000
2444000.0 NaN
2444001.0 1372.718000
2444002.0 1372.732000
2444003.0 1372.426000
2444004.0 NaN
2444005.0 1371.804000
2444006.0 NaN
2444007.0 1371.881000
2444008.0 1372.225000
2444009.0 1372.248000
2444010.0 NaN
2444011.0 1372.376000
2444012.0 NaN
2444013.0 1372.663000
2444014.0 1372.797000
2444015.0 1372.741000
2444016.0 NaN
2444017.0 1372.399000
2444018.0 1372.783000
2444019.0 1372.957000
2444020.0 NaN
2444021.0 1372.714000
2444022.0 1372.958000
2444023.0 1372.902000
2444024.0 NaN
2444025.0 1372.620000
2444026.0 1372.504000
2444027.0 1371.749000
2444028.0 NaN
2444029.0 1371.574000
2444030.0 1371.518000
2444031.0 1371.582000
2444032.0 NaN
2444033.0 1371.679000
2444034.0 1371.643000
2444035.0 1371.307000
2444036.0 NaN
2444037.0 1371.275000
2444038.0 1371.699000
2444039.0 1372.043000
2444040.0 NaN
2444041.0 1372.150000
2444042.0 1372.354000
2444043.0 1372.528000
2444044.0 NaN
2444045.0 1372.475000
2444046.0 1372.679000
2444047.0 1372.833000
2444048.0 NaN
2444049.0 1372.511000
2444050.0 1372.695000
2444051.0 1372.908000
2444052.0 NaN
2444053.0 1372.806000
2444054.0 1372.830000
2444055.0 1372.904000
2444056.0 NaN
2444057.0 1372.162000
2444058.0 1372.196000
2444059.0 1372.179000
2444060.0 NaN
2444061.0 1372.127000
2444062.0 1372.301000
2444063.0 1372.475000
2444064.0 NaN
2444065.0 1372.312000
2444066.0 1372.536000
2444067.0 1372.700000
2444068.0 NaN
2444069.0 1372.779000
2444070.0 1372.763000
2444071.0 1372.667000
2444072.0 NaN
2444073.0 1372.514000
2444074.0 1372.518000
2444075.0 1372.422000
2444076.0 NaN
2444077.0 1372.269000
2444078.0 1372.562000
2444079.0 1372.666000
2444080.0 NaN
2444081.0 1372.533000
2444082.0 1372.947000
2444083.0 1372.911000
2444084.0 NaN
2444085.0 1372.758000
2444086.0 1372.901000
2444087.0 1372.895000
2444088.0 NaN
2444089.0 1372.632000
2444090.0 1372.606000
2444091.0 1372.730000
2444092.0 NaN
2444093.0 1372.507000
2444094.0 1372.491000
2444095.0 1372.614000
2444096.0 NaN
2444097.0 1371.852000
2444098.0 1371.895000
2444099.0 1372.009000
2444100.0 NaN
2444101.0 1371.706000
2444102.0 1371.489000
2444103.0 1371.453000
2444104.0 NaN
2444105.0 1371.010000
2444106.0 1371.074000
2444107.0 1370.777000
2444108.0 NaN
2444109.0 1370.625000
2444110.0 1371.258000
2444111.0 1370.981000
2444112.0 NaN
2444113.0 1370.788000
2444114.0 1371.351000
2444115.0 1372.484000
2444116.0 NaN
2444117.0 1372.261000
2444118.0 1371.975000
2444119.0 1371.358000
2444120.0 NaN
2444121.0 1370.796000
2444122.0 1370.789000
2444123.0 1370.792000
2444124.0 NaN
2444125.0 1371.688000
2444126.0 1372.561000
2444127.0 1372.514000
2444128.0 NaN
2444129.0 1372.441000
2444130.0 1372.424000
2444131.0 1372.398000
2444132.0 NaN
2444133.0 1372.434000
2444134.0 1372.687000
2444135.0 1372.701000
2444136.0 NaN
2444137.0 1372.228000
2444138.0 1372.111000
2444139.0 1372.024000
2444140.0 NaN
2444141.0 1371.991000
2444142.0 1372.294000
2444143.0 1372.237000
2444144.0 NaN
2444145.0 1371.454000
2444146.0 1371.158000
2444147.0 1371.411000
2444148.0 NaN
2444149.0 1372.107000
2444150.0 1372.180000
2444151.0 1372.543000
2444152.0 NaN
2444153.0 1371.929000
2444154.0 1371.712000
2444155.0 1371.635000
2444156.0 NaN
2444157.0 1371.592000
2444158.0 1371.755000
2444159.0 1372.078000
2444160.0 NaN
2444161.0 1372.324000
2444162.0 1372.547000
2444163.0 1372.270000
2444164.0 NaN
2444165.0 1371.757000
2444166.0 1372.149000
2444167.0 1372.312000
2444168.0 NaN
2444169.0 1372.599000
2444170.0 1372.911000
2444171.0 1372.784000
2444172.0 NaN
2444173.0 1372.401000
2444174.0 1372.144000
2444175.0 1372.287000
2444176.0 NaN
2444177.0 1372.183000
2444178.0 1372.006000
2444179.0 1372.438000
2444180.0 NaN
2444181.0 1372.024000
2444182.0 1372.307000
2444183.0 1372.370000
2444184.0 NaN
2444185.0 1371.167000
2444186.0 1370.620000
2444187.0 1370.823000
2444188.0 NaN
2444189.0 1371.169000
2444190.0 1371.491000
2444191.0 1371.844000
2444192.0 NaN
2444193.0 1372.500000
2444194.0 1373.002000
2444195.0 1373.065000
2444196.0 NaN
2444197.0 1372.781000
2444198.0 1372.884000
2444199.0 1372.877000
2444200.0 NaN
2444201.0 1372.282000
2444202.0 1372.195000
2444203.0 1372.577000
2444204.0 NaN
2444205.0 1372.783000
2444206.0 1372.805000
2444207.0 1372.858000
2444208.0 NaN
2444209.0 1372.453000
2444210.0 1372.516000
2444211.0 1372.348000
2444212.0 NaN
2444213.0 1372.154000
2444214.0 NaN
2444215.0 1372.789000
2444216.0 NaN
2444217.0 1372.755000
2444218.0 1372.997000
2444219.0 1372.980000
2444220.0 NaN
2444221.0 1373.055000
2444222.0 1373.048000
2444223.0 1373.061000
2444224.0 NaN
2444225.0 1372.616000
2444226.0 NaN
2444227.0 1372.701000
2444228.0 NaN
2444229.0 1372.186000
2444230.0 1372.219000
2444231.0 1372.171000
2444232.0 NaN
2444233.0 1372.216000
2444234.0 1372.688000
2444235.0 1372.730000
2444236.0 NaN
2444237.0 1372.455000
2444238.0 1372.667000
2444239.0 1372.850000
2444240.0 NaN
2444241.0 1372.445000
2444242.0 1372.437000
2444243.0 1372.500000
2444244.0 NaN
2444245.0 1372.255000
2444246.0 1371.968000
2444247.0 1371.910000
2444248.0 NaN
2444249.0 1371.895000
2444250.0 1372.287000
2444251.0 1372.610000
2444252.0 NaN
2444253.0 1372.814000
2444254.0 1372.967000
2444255.0 1372.759000
2444256.0 NaN
2444257.0 1372.294000
2444258.0 1372.416000
2444259.0 1372.398000
2444260.0 NaN
2444261.0 1371.883000
2444262.0 1371.945000
2444263.0 1372.457000
2444264.0 NaN
2444265.0 1372.471000
2444266.0 1372.693000
2444267.0 1372.835000
2444268.0 NaN
